Date,Open,High,Low,Close*,Adj Close**,Volume
2022-10-06,441.4,468.6,441.3,454.7,454.7,207
2022-10-05,434,437.6,421.2,436.6,436.6,207
2022-10-04,436,448,426.2,434.0,434,298
2022-10-03,437.7,442.3,421.3,426.0,426,404
2022-09-30,418.7,429.7,412.5,422.5,422.5,370
2022-09-29,431.9,432.4,402.8,410.9,410.9,593
2022-09-28,443.7,451,420.1,432.8,432.8,281
2022-09-27,426.1,448.5,422,429.3,429.3,367
2022-09-26,432.7,443.9,410.7,410.8,410.8,446
2022-09-23,451.8,455,430.1,435.0,435,552
2022-09-22,489.9,489.9,460,460.2,460.2,362
2022-09-21,521.7,522.2,492.1,496.0,496,295
2022-09-20,503.6,527,502,515.7,515.7,334
2022-09-19,479.1,486.4,461.4,482.2,482.2,173
2022-09-16,488.9,488.9,469.5,481.2,481.2,242
2022-09-15,499,499,482,483.5,483.5,335
2022-09-14,549.7,549.7,511,511.0,511,40
2022-09-13,550,567,548,560.0,560,194
2022-09-12,514.7,554.9,511,554.9,554.9,76
2022-09-09,511.9,519.9,504.7,509.0,509,54
2022-09-08,500.9,514.9,499,513.4,513.4,101
2022-09-07,490,509,485.1,505.5,505.5,85
2022-09-06,492.2,496.3,485,490.0,490,83
2022-09-02,492.4,499,484,493.8,493.8,85
2022-09-01,514.4,517.7,489,499.7,499.7,134
2022-08-31,500.2,516.5,500.2,509.0,509,193
2022-08-30,503.7,514,495.2,504.8,504.8,265
2022-08-29,523.4,524.5,509.8,516.0,516,154
2022-08-26,520,549,511.8,523.6,523.6,157
2022-08-25,495.4,529.9,495.2,520.0,520,182
2022-08-24,522,529.4,490,495.4,495.4,313
2022-08-23,504.6,530,503.2,516.0,516,246
2022-08-22,514.3,516.6,500,500.0,500,280
2022-08-19,558.9,558.9,516.6,520.0,520,392
2022-08-18,595.9,596.2,560,565.5,565.5,251
2022-08-17,592.5,609.7,588,598.4,598.4,259
2022-08-16,581.8,598.3,577.8,596.1,596.1,213
2022-08-15,590.1,604.7,576.6,588.9,588.9,218
2022-08-12,602.7,611.4,583.8,588.7,588.7,219
2022-08-11,621.7,635.6,577.1,595.6,595.6,647
2022-08-10,573,601.8,573,601.8,601.8,487
2022-08-09,528.5,565,528.4,552.8,552.8,376
2022-08-08,489,528.2,483.2,519.3,519.3,398
2022-08-05,501.1,518.5,473.6,479.2,479.2,282
2022-08-04,491,502,470.6,500.0,500,372
2022-08-03,521,521.3,483,493.2,493.2,362
2022-08-02,541,541,520.4,521.2,521.2,227
2022-08-01,529.8,545.2,514.1,534.2,534.2,351
2022-07-29,534.6,535.1,523.1,527.1,527.1,307
2022-07-28,555.2,559.2,531,536.7,536.7,371
2022-07-27,549,561.6,542,555.2,555.2,201
2022-07-26,565.3,574.5,531.2,556.6,556.6,374
2022-07-25,583,583,554.3,572.2,572.2,280
2022-07-22,617,617,576.2,585.3,585.3,256
2022-07-21,623.8,630,599.4,623.2,623.2,243
2022-07-20,648.1,648.5,623.1,631.6,631.6,127
2022-07-19,642.1,648.7,628.2,646.3,646.3,147
2022-07-18,655,659.9,626.2,640.8,640.8,176
2022-07-15,655,682,655,682.0,682,187
2022-07-14,640,645.7,635,640.0,640,50
2022-07-13,650,660,643.5,652.0,652,65
2022-07-12,656.6,656.6,643,645.0,645,33
2022-07-11,660,670,640.3,661.1,661.1,34
2022-07-08,666.1,677.5,650,659.0,659,34
2022-07-07,640,672,640,668.0,668,59
2022-07-06,650,650,610.3,635.0,635,80
2022-07-05,654,654,626.6,640.0,640,63
2022-07-01,660,682.6,650,657.0,657,118
2022-06-30,635,670,629.1,663.3,663.3,212
2022-06-29,628,642.5,624.2,633.6,633.6,195
2022-06-28,602.8,630.5,602.5,617.6,617.6,164
2022-06-27,603.1,617.5,603.1,611.0,611,94
2022-06-24,622,625,608.5,608.6,608.6,145
2022-06-23,610.7,623,591.1,617.0,617,201
2022-06-22,628.8,630.1,603.3,611.6,611.6,285
2022-06-21,591.8,630.1,591.2,610.1,610.1,422
2022-06-17,574.5,591.8,566.6,581.1,581.1,250
2022-06-16,560.1,578.9,556,569.0,569,215
2022-06-15,546.7,568.4,530.8,563.5,563.5,383
2022-06-14,519.3,552.7,518.5,538.0,538,217
2022-06-13,549.6,554.6,517,528.0,528,191
2022-06-10,555.8,564.5,550,555.9,555.9,155
2022-06-09,570,582,558.1,568.3,568.3,177
2022-06-08,591.4,592,566.1,573.0,573,267
2022-06-07,601.1,610.9,585.4,596.8,596.8,211
2022-06-06,634.7,634.7,589,600.3,600.3,188
2022-06-03,605,630,595.6,623.3,623.3,296
2022-06-02,600.8,624,594,598.5,598.5,340
2022-06-01,644.8,644.8,604.5,608.6,608.6,420
2022-05-31,698.8,699.2,649.8,653.5,653.5,270
2022-05-27,698.7,715,670,695.1,695.1,263
2022-05-26,670.9,690,659.1,683.0,683,238
2022-05-25,659.5,665,647.8,651.8,651.8,166
2022-05-24,644.5,672,636.3,660.0,660,153
2022-05-23,670.1,675,640.6,651.9,651.9,193
2022-05-20,675,690.5,655,667.3,667.3,153
2022-05-19,728.5,728.5,690.5,690.5,690.5,243
2022-05-18,778.9,778.9,739,739.5,739.5,196
2022-05-17,804.5,812.2,775.5,788.0,788,133
2022-05-16,772.2,792,752.4,787.0,787,170
2022-05-13,985,985,920,920.0,920,211
2022-05-12,1024.9,1024.9,1000,1004.0,1004,43
2022-05-11,1011,1025,1007.5,1007.5,1007.5,99
2022-05-10,1008,1025,1008,1022.0,1022,68
2022-05-09,1000.1,1015,975,1009.0,1009,89
2022-05-06,990,1005,985,1000.1,1000.1,147
2022-05-05,1010,1033.4,993.8,1020.0,1020,131
2022-05-04,1021.6,1025.5,980,1010.0,1010,144
2022-05-03,1036,1045,1022,1039.5,1039.5,103
2022-05-02,1033.9,1054,1025,1034.7,1034.7,91
2022-04-29,1025,1047.4,1023,1039.7,1039.7,181
2022-04-28,1044.7,1045.9,1020,1044.8,1044.8,81
2022-04-27,1036.3,1062.8,1026.1,1052.4,1052.4,190
2022-04-26,1009,1049.4,1008,1034.8,1034.8,175
2022-04-25,980.2,1017.3,945.6,1015.0,1015,149
2022-04-22,1021.1,1029.9,1000,1002.6,1002.6,183
2022-04-21,1005.1,1041.4,989.8,1025.0,1025,202
2022-04-20,960,995.6,945.7,995.6,995.6,249
2022-04-19,945.4,951.5,920.3,938.6,938.6,156
2022-04-18,887.9,924.2,871.7,923.9,923.9,187
2022-04-14,880.3,904.8,862.1,889.0,889,160
2022-04-13,876.6,902.5,844.8,883.7,883.7,177
2022-04-12,862,890,829.3,874.2,874.2,248
2022-04-11,971.1,992.6,870,886.3,886.3,229
2022-04-08,891,949.9,890,949.9,949.9,242
2022-04-07,864.9,896.7,846.7,892.9,892.9,349
2022-04-06,925,925,881.4,881.4,881.4,174
2022-04-05,973.9,977.8,935,938.4,938.4,129
2022-04-04,965,993.3,945.2,966.5,966.5,121
2022-04-01,955.2,984.8,929.5,964.9,964.9,320
2022-03-31,1012.7,1043,945,965.3,965.3,285
2022-03-30,1075,1084.9,997,1001.7,1001.7,184
2022-03-29,993.8,1055,993.8,1054.0,1054,158
2022-03-28,986,1001,977.8,999.5,999.5,71
2022-03-25,1016.2,1022,974.8,1008.0,1008,250
2022-03-24,1022.4,1059.9,1003.4,1020.0,1020,239
2022-03-23,1085.2,1089.8,1054.3,1054.3,1054.3,110
2022-03-22,1100,1130,1042.3,1111.3,1111.3,322
2022-03-21,1201.3,1229,1128.3,1128.3,1128.3,127
2022-03-18,1223.4,1246,1173.5,1185.3,1185.3,181
2022-03-17,1152,1207,1150,1207.0,1207,236
2022-03-16,1201,1201,1125,1150.0,1150,236
2022-03-15,1420,1420,1420,1420.0,1420,213
2022-03-14,1348,1430,1348,1410.0,1410,33
2022-03-11,1370,1420,1310,1410.0,1410,23
2022-03-10,1355,1382,1344,1348.5,1348.5,39
2022-03-09,1350.6,1377.1,1335.9,1350.5,1350.5,42
2022-03-08,1411,1425,1385,1386.4,1386.4,55
2022-03-07,1441,1460,1441,1456.1,1456.1,50
2022-03-04,1477.4,1477.4,1396,1441.0,1441,79
2022-03-03,1439.5,1464.4,1438,1464.4,1464.4,138
2022-03-02,1395,1433.4,1395,1418.7,1418.7,128
2022-03-01,1349,1379.5,1349,1373.0,1373,150
2022-02-28,1310,1341,1309.5,1336.7,1336.7,136
2022-02-25,1319.9,1331.1,1295,1312.4,1312.4,215
2022-02-24,1277.7,1314.5,1260,1312.0,1312,203
2022-02-23,1252.1,1277,1242.7,1277.0,1277,201
2022-02-22,1265,1293.8,1241.6,1247.0,1247,268
2022-02-18,1275,1319.9,1261,1270.0,1270,249
2022-02-17,1301,1316.1,1290.4,1290.4,1290.4,285
2022-02-16,1313.7,1336,1285,1320.4,1320.4,432
2022-02-15,1283.5,1291,1279.8,1291.0,1291,134
2022-02-14,1207.9,1246,1202,1246.0,1246,221
2022-02-11,1294.9,1294.9,1204.9,1216.0,1216,695
2022-02-10,1249.9,1249.9,1249.9,1249.9,1249.9,129
2022-02-09,1204.9,1204.9,1204.9,1204.9,1204.9,143
2022-02-08,1159.9,1159.9,1159.9,1159.9,1159.9,69
2022-02-07,1114.9,1114.9,1114.9,1114.9,1114.9,95
2022-02-04,1069.9,1069.9,1069.9,1069.9,1069.9,57
2022-02-03,1019,1024.9,1017.5,1024.9,1024.9,149
2022-02-02,911.9,979.9,900.9,979.9,979.9,281
2022-02-01,962.8,962.9,934.9,934.9,934.9,297
2022-01-31,1049.9,1053.7,979.9,979.9,979.9,244
2022-01-28,1001.1,1024.9,984.1,1024.9,1024.9,301
2022-01-27,963.7,1035.8,963.7,994.9,994.9,999
2022-01-26,1008.7,1008.7,1008.7,1008.7,1008.7,79
2022-01-25,1053.7,1053.7,1053.7,1053.7,1053.7,49
2022-01-24,1098.7,1098.7,1098.7,1098.7,1098.7,85
2022-01-21,1179.8,1179.8,1143.7,1143.7,1143.7,245
2022-01-20,1208.2,1233.7,1188.7,1188.7,1188.7,307
2022-01-19,1295.3,1311.5,1233.7,1233.7,1233.7,364
2022-01-18,1279.7,1286,1278.7,1278.7,1278.7,280
2022-01-14,1270,1289,1210,1237.1,1237.1,242
2022-01-13,1244.7,1244.7,1217,1229.1,1229.1,84
2022-01-12,1219.2,1230,1200,1212.0,1212,88
2022-01-11,1161,1205,1155,1204.9,1204.9,62
2022-01-10,1196.8,1196.8,1158,1160.0,1160,39
2022-01-07,1199,1199,1174,1188.0,1188,41
2022-01-06,1175,1191.4,1154,1191.4,1191.4,65
2022-01-05,1139.7,1162.8,1139.7,1159.5,1159.5,77
2022-01-04,1107.2,1141,1107.1,1133.0,1133,92
2022-01-03,1131,1131,1109.1,1112.0,1112,99
